Orders,Number_of_Orders,Total_Volume,Remaining_Capacity,Capacity_Utilization,Due_Date_Range
"[3, 4, 17]",3,22602.0,2398.0,90.408,1.0
"[1, 21]",2,21781.0,3219.0,87.124,1.0
"[6, 24]",2,20751.0,4249.0,83.004,0.0
"[9, 14]",2,19629.0,5371.0,78.51599999999999,1.0
"[10, 18]",2,18643.0,6357.0,74.572,1.0
"[5, 13]",2,17625.0,7375.0,70.5,0.0
"[8, 19]",2,16928.0,8072.0,67.712,1.0
"[2, 15, 22]",3,13455.0,11545.0,53.82,1.0
"[7, 11, 23]",3,13033.0,11967.0,52.132,1.0
"[12, 16, 20]",3,6866.0,18134.0,27.464,1.0
